
    -----Entities-----
    ```csv
    "id",	"entity",	"type",	"description",	"rank"
0,	"TABLE 1",	"GEO",	"Table 1 in the paper provides the number of positive and negative examples and their ratios for different data-imbalanced NLP tasks.",	1
1,	"NEGATIVE EXAMPLES",	"CONCEPT",	"Negative examples are discussed in the paper as significantly outnumbering positive ones, causing a severe data imbalance issue.",	0
2,	"POSITIVE EXAMPLES",	"CONCEPT",	"Positive examples are discussed in the context of data imbalance, where they are significantly outnumbered by negative examples.",	0
3,	"IMAGE_1",	"ORI_IMG",	"The image is a table labeled 'Table 1: Number of positive and negative examples and their ratios for different data-imbalanced NLP tasks.' The table is structured with four main columns: Task, # neg, # pos, and ratio. Each row represents a different NLP task and contains the following values: \n- For CoNLL03 NER, the number of negative examples (# neg) is 170K, the number of positive examples (# pos) is 34K, and the ratio is 4.98. \n- For OntoNotes5.0 NER, the number of negative examples (# neg) is 1.96M, the number of positive examples (# pos) is 239K, and the ratio is 8.18. \n- For SQuAD 1.1 (Rajpurkar et al., 2016), the number of negative examples (# neg) is 10.3M, the number of positive examples (# pos) is 175K, and the ratio is 55.9. \n- For SQuAD 2.0 (Rajpurkar et al., 2018), the number of negative examples (# neg) is 15.4M, the number of positive examples (# pos) is 188K, and the ratio is 82.0. \n- For QUOREF (Dasigi et al., 2019), the number of negative examples (# neg) is 6.52M, the number of positive examples (# pos) is 38.6K, and the ratio is 169. \nThe table highlights the significant data imbalance in these NLP tasks, with the number of negative examples far exceeding the number of positive examples.",	6
4,	"DATA IMBALANCE",	"CONCEPT",	"Data imbalance is a central issue in the paper, referring to the problem of negative examples significantly outnumbering positive ones in NLP tasks.",	0
5,	"QUOREF",	"EVENT",	"Quoref is a QA dataset that tests the coreferential reasoning capability of reading comprehension systems."<SEP>"Quoref is a dataset used for machine reading comprehension tasks."<SEP>"Quoref is a dataset used in the task of question answering, mentioned in the context of evaluating model performance.",	4
6,	"+POSITIVE & NEGATIVE",	"EVENT",	"The performance metric of the BERT model after adding both positive and negative examples to the training dataset. Positive and negative augmentation refers to the process of augmenting the original training data with additional positive and negative examples while maintaining the same data distribution.",	5
7,	"-NEGATIVE",	"EVENT",	"The performance metric of the BERT model after removing negative examples from the training dataset. Negative downsampling is the process of reducing the number of negative examples to balance the training set.",	5
8,	"ENGLISH QUOREF",	"GEO",	"QuoRef MRC is an English dataset used for experiments to test the effect of hyperparameters in Tversky Index. The table contains performance metrics for the English QuoRef dataset.",	3
9,	"+POSITIVE",	"EVENT",	"The performance metric of the BERT model after adding positive examples to the training dataset. Positive augmentation refers to the process of creating a balanced dataset by adding positive examples to the original set.",	6
    ```
    -----Relationships-----
    ```csv
    "id",	"source",	"target",	"description",	"weight",	"rank"
0,	"+POSITIVE",	"BERT+CE",	"When positive examples are added, BERT's performance increases to 92.27, showing an improvement over the original performance.",	8.0,	27
1,	"+POSITIVE & NEGATIVE",	"BERT+CE",	"When both positive and negative examples are added, BERT's performance peaks at 93.14, demonstrating the highest improvement over the original performance.",	9.0,	26
2,	"-NEGATIVE",	"BERT+CE",	"When negative examples are removed, BERT's performance drops to 89.73, showing a significant decrease compared to the original performance.",	6.0,	26
3,	"+POSITIVE",	"BERT+DSC",	"Positive examples further enhance BERT+DSC's performance to 92.92, showing a clear benefit.",	7.0,	22
4,	"+POSITIVE",	"BERT+DL",	"Positive examples boost BERT+DL's performance to 92.87, indicating a strong positive impact.",	7.0,	22
5,	"+POSITIVE & NEGATIVE",	"BERT+DSC",	"Combining positive and negative examples achieves the best performance for BERT+DSC at 93.63.",	9.0,	21
6,	"+POSITIVE & NEGATIVE",	"BERT+DL",	"Incorporating both types of examples results in the highest performance for BERT+DL at 93.52.",	9.0,	21
7,	"+POSITIVE",	"BERT+FL",	"With positive examples, BERT+FL's performance further improves to 92.64, showing a consistent trend of enhancement.",	7.0,	21
8,	"-NEGATIVE",	"BERT+DSC",	"Removing negative examples improves BERT+DSC's performance to 90.80.",	7.0,	21
9,	"-NEGATIVE",	"BERT+DL",	"Eliminating negative examples improves BERT+DL's performance to 90.49.",	7.0,	21
10,	"+POSITIVE & NEGATIVE",	"BERT+FL",	"Combining both positive and negative examples yields the best performance for BERT+FL at 93.45.",	9.0,	20
11,	"-NEGATIVE",	"BERT+FL",	"Removing negative examples leads to a notable increase in BERT+FL's performance, reaching 90.79.",	7.0,	20
12,	"+POSITIVE",	"IMAGE_10",	"+ positive是从image_10中提取的实体。",	10.0,	16
13,	"+POSITIVE & NEGATIVE",	"IMAGE_10",	"+ positive & negative是从image_10中提取的实体。",	10.0,	15
14,	"-NEGATIVE",	"IMAGE_10",	"- negative是从image_10中提取的实体。",	10.0,	15
15,	"IMAGE_1",	"QUOREF",	"QUOREF是从image_1中提取的实体。",	10.0,	10
16,	"IMAGE_1",	"SQUAD 1.1",	"SQuAD 1.1是从image_1中提取的实体。",	10.0,	9
17,	"IMAGE_1",	"SQUAD 2.0",	"SQuAD 2.0是从image_1中提取的实体。",	10.0,	9
18,	"CONLL03",	"IMAGE_1",	"CoNLL03 NER是从image_1中提取的实体。",	10.0,	8
19,	"IMAGE_1",	"ONTONOTES5.0",	"OntoNotes5.0 NER是从image_1中提取的实体。",	10.0,	8
20,	"ENGLISH QUOREF",	"TVERSKY INDEX",	"Tversky Index is used with the QuoRef MRC dataset to explore the effect of hyperparameters on performance.",	7.0,	8
